feature,psi,drift_psi,psi_moderado,ks_stat,ks_pvalue,drift_ks,city,ventana,n
reanalysis_specific_humidity_g_per_kg,0.24776783890615442,True,False,0.1868453391070279,0.08448103066923687,False,sj,V1,47
reanalysis_dew_point_temp_k,0.19121021438310354,False,True,0.17742407396570894,0.11481207703673177,False,sj,V1,47
station_avg_temp_c,0.11550267977777114,False,True,0.09977178301831588,0.7418852922140168,False,sj,V1,47
precipitation_amt_mm,0.0701101071426806,False,False,0.16504112808460636,0.16800112124664582,False,sj,V1,47
reanalysis_precip_amt_kg_per_m2,0.11843012861194334,False,True,0.13382877874656213,0.38383641703835303,False,sj,V1,47
total_cases,0.6129707887149296,True,False,0.3483900329957902,2.6835043208265704e-05,True,sj,V1,47
reanalysis_specific_humidity_g_per_kg,0.3083658486763296,True,False,0.16680507431058675,0.15152255548782337,False,sj,V2,47
reanalysis_dew_point_temp_k,0.3073669109503731,True,False,0.16975458892929757,0.13842637249252784,False,sj,V2,47
station_avg_temp_c,0.30556631427068104,True,False,0.14014489848515221,0.3184817470613181,False,sj,V2,47
precipitation_amt_mm,0.28093249427411887,True,False,0.18723404255319148,0.0786079324219305,False,sj,V2,47
reanalysis_precip_amt_kg_per_m2,0.15729833421336212,False,True,0.13965808539274363,0.3223067328748262,False,sj,V2,47
total_cases,0.36451951299509444,True,False,0.2527306860848788,0.005595358773627284,True,sj,V2,47
reanalysis_specific_humidity_g_per_kg,0.3615307563365956,True,False,0.17866040491394863,0.10433180454344097,False,sj,V3,47
reanalysis_dew_point_temp_k,0.5198288470049974,True,False,0.18782394547693365,0.07681719966695169,False,sj,V3,47
station_avg_temp_c,0.040064296639861094,False,False,0.1113083817760087,0.6022562130811513,False,sj,V3,47
precipitation_amt_mm,0.006425178102171895,False,False,0.08243243243243244,0.8991266599014465,False,sj,V3,47
reanalysis_precip_amt_kg_per_m2,0.03879578169551588,False,False,0.1085593196071132,0.6329656701096571,False,sj,V3,47
total_cases,2.274168705106538,True,False,0.45477301171919443,7.358151580468218e-09,True,sj,V3,47
reanalysis_specific_humidity_g_per_kg,0.20837848498694467,True,False,0.1463589244294264,0.2711130293556989,False,sj,V4,47
reanalysis_dew_point_temp_k,0.15288480284946193,False,True,0.15308839953036854,0.2258309309754868,False,sj,V4,47
station_avg_temp_c,0.5095819852550612,True,False,0.22012542596145585,0.02305327824635253,True,sj,V4,47
precipitation_amt_mm,0.06648348780707294,False,False,0.08200115008625647,0.9021988661342775,False,sj,V4,47
reanalysis_precip_amt_kg_per_m2,0.13185184323004082,False,True,0.182182640817846,0.09292822928097766,False,sj,V4,47
total_cases,0.08786770354637989,False,False,0.1430196836955285,0.295539193138571,False,sj,V4,47
reanalysis_specific_humidity_g_per_kg,0.34368487932301117,True,False,0.19119286510590858,0.29291540088681367,False,iq,V1,26
reanalysis_dew_point_temp_k,0.5337050686781902,True,False,0.1986250464511334,0.252608672774555,False,iq,V1,26
station_avg_temp_c,0.3767889071655931,True,False,0.18311688311688312,0.4377509033165422,False,iq,V1,26
precipitation_amt_mm,1.9181582832233892,True,False,0.31921218877740615,0.010226992018740584,True,iq,V1,26
reanalysis_precip_amt_kg_per_m2,0.25871204252715646,True,False,0.2564102564102564,0.06588269576030806,False,iq,V1,26
total_cases,0.4962357464306515,True,False,0.35096153846153844,0.0035033886084643393,True,iq,V1,26
reanalysis_specific_humidity_g_per_kg,0.7772315441324418,True,False,0.3869565217391304,0.0011000532993912173,True,iq,V2,26
reanalysis_dew_point_temp_k,0.7772315441324418,True,False,0.3893719806763285,0.0009997497793372476,True,iq,V2,26
station_avg_temp_c,0.14632327257348215,False,True,0.12311688311688311,0.825603843973262,False,iq,V2,26
precipitation_amt_mm,0.47429322635283866,True,False,0.31816425120772945,0.01270085172446409,True,iq,V2,26
reanalysis_precip_amt_kg_per_m2,3.2880552895455937,True,False,0.5010628019323672,5.495886113846234e-06,True,iq,V2,26
total_cases,0.1617032880161914,False,True,0.21634615384615385,0.17770912763915964,False,iq,V2,26
reanalysis_specific_humidity_g_per_kg,0.3217635757306626,True,False,0.23708658491267187,0.10741928408998162,False,iq,V3,26
reanalysis_dew_point_temp_k,1.585388202648927,True,False,0.22259383128948346,0.15105740293009023,False,iq,V3,26
station_avg_temp_c,1.7786171755721618,True,False,0.3193806193806194,0.010369020110461476,True,iq,V3,26
precipitation_amt_mm,0.1366572104253518,False,True,0.15942028985507245,0.5110668418525723,False,iq,V3,26
reanalysis_precip_amt_kg_per_m2,0.25868747866330194,True,False,0.1724266072092159,0.4118360281488699,False,iq,V3,26
total_cases,1.5919837688887841,True,False,0.34615384615384615,0.004171761726986324,True,iq,V3,26
reanalysis_specific_humidity_g_per_kg,0.9320928664286201,True,False,0.4918840579710145,9.059919319634696e-06,True,iq,V4,26
reanalysis_dew_point_temp_k,0.9320928664286201,True,False,0.4822222222222222,1.4939869689768349e-05,True,iq,V4,26
station_avg_temp_c,0.14776013406998567,False,True,0.19792207792207792,0.2775648322646262,False,iq,V4,26
precipitation_amt_mm,0.12426710549746861,False,True,0.13120772946859904,0.7616345725452082,False,iq,V4,26
reanalysis_precip_amt_kg_per_m2,0.6029401836949175,True,False,0.3715942028985507,0.001983536762561593,True,iq,V4,26
total_cases,0.49473539980965575,True,False,0.30288461538461536,0.0178574927945641,True,iq,V4,26
